Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2013 [YR2013]
Poland,POL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13353.6821006073,24567.5061660536
Czechia,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20932.0784185044,30818.1081558477
Estonia,EST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14536.3474111754,27464.5186781161
Hungary,HUN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16272.0058268918,24556.7153473909
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12278.5848367366,22639.0683375842
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13030.3604109567,26721.5796712844
Slovak Republic,SVK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15226.3384286297,27915.4332088556
Slovenia,SVN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22760.9469717198,29973.6993541529
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8491.89483925911,18994.1901887615
Russian Federation,RUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10226.7666015625,26073.875
Moldova,MDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4429.33025821331,8381.67181344521
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4616.1802849089,9835.80246091985
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 09/16/2022,,,,,
